bucket,n,mean,median,std,win_rate,p10,p90,t_stat
large_down__price_gated__regime_gated__all,3234,0.0637,0.0,4.1559,0.4988,-4.3881,4.238,0.871
large_down__drive_continued,2361,-1.3174,-0.8256,3.1077,0.3532,-5.2039,1.7479,-20.597
large_down__reclaimed__all,873,0.4821,0.1786,3.8353,0.5304,-3.3677,4.2262,3.714
large_down__reclaimed__early_lte60,166,1.2192,0.9308,5.4831,0.6145,-4.4122,7.5337,2.865
large_down__reclaimed__late_gt60,707,0.3091,0.0992,3.3142,0.5106,-3.0747,3.7548,2.48
large_down__reclaimed__price_5to10,448,0.4684,0.1596,3.9877,0.5201,-3.6264,4.8808,2.486
large_down__reclaimed__price_10to15,243,0.3908,0.1268,3.9965,0.5185,-3.3089,4.0409,1.524
large_down__reclaimed__price_15to20,182,0.6378,0.337,3.1941,0.5714,-2.6162,3.8771,2.694
large_down__reclaimed__mag_2to3,563,0.4568,0.1508,3.3342,0.5258,-2.6119,3.6894,3.251
large_down__reclaimed__mag_3to5,248,0.2531,0.1397,4.3032,0.5161,-3.7986,4.2168,0.926
large_down__reclaimed__mag_5to99,62,1.6279,1.1705,5.5957,0.629,-5.555,6.947,2.291
monthly__2024-03,6,-0.2357,-1.288,3.7612,0.3333,-3.6546,4.2355,-0.154
monthly__2024-05,57,0.5223,0.315,3.2469,0.5789,-3.5029,4.2603,1.215
monthly__2024-06,34,1.088,0.2112,3.2348,0.5588,-2.1348,4.6296,1.961
monthly__2024-07,44,-0.2612,0.0683,3.6123,0.5,-4.7681,2.3207,-0.48
monthly__2024-08,53,-0.1014,-0.1359,2.1562,0.434,-2.6582,2.7514,-0.342
monthly__2024-10,42,0.8627,0.388,4.8964,0.5476,-2.981,6.4497,1.142
monthly__2024-11,87,-0.1802,-0.1005,4.8866,0.4828,-4.176,4.0453,-0.344
monthly__2025-04,98,0.6204,0.382,3.7591,0.5408,-3.5988,6.2981,1.634
monthly__2025-05,85,0.3123,0.0012,3.5261,0.5059,-3.1821,3.4,0.816
monthly__2025-06,69,-0.3725,-0.1718,3.2399,0.4348,-4.9199,3.0448,-0.955
monthly__2025-07,61,0.5258,0.3472,3.2692,0.5574,-2.9369,3.6786,1.256
monthly__2025-08,70,1.6265,0.4256,4.8009,0.6,-1.7718,5.184,2.835
monthly__2025-09,56,0.6705,0.5614,3.8723,0.5893,-3.1299,3.8606,1.296
monthly__2025-11,47,0.6468,0.4104,3.1586,0.5745,-1.9177,4.6403,1.404
monthly__2025-12,64,1.1928,0.4944,4.0867,0.5781,-2.6211,5.7616,2.335
