year,gap_direction,n_events,mean_nd_open_to_close_pct,continuation_rate,mean_nd_range_pct
2021,up,37680,-0.003,49.5,3.637
2021,down,27309,-0.051,49.9,3.992
2021,all,64989,-0.023,49.7,3.786
2022,up,60976,-0.022,49.3,4.517
2022,down,67107,-0.156,53.3,4.55
2022,all,128083,-0.092,51.4,4.534
2023,up,55008,0.104,51.6,3.838
2023,down,51055,0.036,49.6,3.769
2023,all,106063,0.071,50.6,3.805
2024,up,115941,-0.092,46.9,3.918
2024,down,87961,-0.007,49.7,3.962
2024,all,203902,-0.055,48.1,3.937
2025,up,127990,0.127,48.4,4.394
2025,down,116040,0.079,46.3,4.516
2025,all,244030,0.105,47.4,4.452
2026,up,28587,-0.02,48.8,4.793
2026,down,33025,0.385,44.7,4.878
2026,all,61612,0.197,46.6,4.839
