slice,metric,parent_quality_filtered,child1_liquid_trend,child2_high_rvol
all,n_events,808121.0,364529.0,120046.0
all,continuation_rate_pct,48.8,48.6,48.6
all,mean_nd_open_to_close,0.024,0.001,-0.008
all,mean_nd_range_pct,4.217,3.992,5.397
all,mean_nd_open_to_high,2.144,2.004,2.723
all,mean_nd_open_to_low,-2.078,-1.988,-2.681
gap_up,n_events,425808.0,188391.0,62426.0
gap_up,continuation_rate_pct,48.6,48.6,47.7
gap_up,mean_nd_open_to_close,0.021,-0.017,0.011
gap_up,mean_nd_range_pct,4.157,3.81,5.514
gap_up,mean_nd_open_to_high,2.117,1.912,2.795
gap_up,mean_nd_open_to_low,-2.044,-1.898,-2.721
gap_down,n_events,382313.0,176138.0,57620.0
gap_down,continuation_rate_pct,48.9,48.6,49.7
gap_down,mean_nd_open_to_close,0.029,0.021,-0.028
gap_down,mean_nd_range_pct,4.284,4.188,5.269
gap_down,mean_nd_open_to_high,2.173,2.102,2.645
gap_down,mean_nd_open_to_low,-2.116,-2.085,-2.637
bullish,n_events,434306.0,197949.0,62560.0
bullish,continuation_rate_pct,47.7,47.6,47.9
bullish,mean_nd_open_to_close,-0.055,-0.048,-0.101
bullish,mean_nd_range_pct,3.981,3.738,5.233
bullish,mean_nd_open_to_high,1.996,1.868,2.621
bullish,mean_nd_open_to_low,-1.988,-1.869,-2.62
bearish,n_events,220260.0,98557.0,36172.0
bearish,continuation_rate_pct,49.6,48.5,49.3
bearish,mean_nd_open_to_close,0.186,0.084,0.146
bearish,mean_nd_range_pct,4.724,4.557,5.801
bearish,mean_nd_open_to_high,2.47,2.3,2.985
bearish,mean_nd_open_to_low,-2.27,-2.259,-2.832
