child_name,year,gap_direction,n_events,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_range_pct
child1_liquid_trend_names,2021,all,29315,48.8,-0.011,3.565
child1_liquid_trend_names,2021,up,15963,49.2,-0.024,3.266
child1_liquid_trend_names,2021,down,13352,48.4,0.003,3.921
child1_liquid_trend_names,2022,all,57514,52.3,-0.071,4.295
child1_liquid_trend_names,2022,up,24680,50.8,0.036,3.965
child1_liquid_trend_names,2022,down,32834,53.5,-0.151,4.544
child1_liquid_trend_names,2023,all,47366,51.4,0.086,3.528
child1_liquid_trend_names,2023,up,25343,52.5,0.155,3.506
child1_liquid_trend_names,2023,down,22023,50.1,0.007,3.553
child1_liquid_trend_names,2024,all,92723,47.4,-0.044,3.653
child1_liquid_trend_names,2024,up,51724,46.4,-0.102,3.668
child1_liquid_trend_names,2024,down,40999,48.6,0.029,3.635
child1_liquid_trend_names,2025,all,109599,46.7,0.004,4.26
child1_liquid_trend_names,2025,up,58348,47.6,-0.04,3.962
child1_liquid_trend_names,2025,down,51251,45.7,0.055,4.598
child1_liquid_trend_names,2026,all,28012,47.2,0.151,4.679
child1_liquid_trend_names,2026,up,12333,48.8,-0.01,4.7
child1_liquid_trend_names,2026,down,15679,45.9,0.278,4.663
child2_high_rvol_names,2021,all,9791,47.6,-0.0,4.536
child2_high_rvol_names,2021,up,5198,47.5,-0.044,4.57
child2_high_rvol_names,2021,down,4593,47.7,0.049,4.497
child2_high_rvol_names,2022,all,17421,49.9,-0.036,5.571
child2_high_rvol_names,2022,up,7973,47.5,-0.077,5.755
child2_high_rvol_names,2022,down,9448,52.0,-0.001,5.416
child2_high_rvol_names,2023,all,16213,48.5,0.034,4.9
child2_high_rvol_names,2023,up,8537,48.0,0.012,5.056
child2_high_rvol_names,2023,down,7676,49.1,0.059,4.727
child2_high_rvol_names,2024,all,30331,47.3,-0.118,5.129
child2_high_rvol_names,2024,up,17180,45.3,-0.183,5.393
child2_high_rvol_names,2024,down,13151,49.8,-0.032,4.785
child2_high_rvol_names,2025,all,36712,49.7,0.003,5.859
child2_high_rvol_names,2025,up,18794,49.4,0.225,5.865
child2_high_rvol_names,2025,down,17918,50.1,-0.231,5.852
child2_high_rvol_names,2026,all,9578,47.7,0.271,5.876
child2_high_rvol_names,2026,up,4744,49.8,0.065,6.017
child2_high_rvol_names,2026,down,4834,45.7,0.474,5.738
