slice_label,n_events,n_valid,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_open_to_high_pct,mean_nd_open_to_low_pct,mean_nd_range_pct
all__all_regimes,306937,306937,49.41,0.076,2.171,-2.068,4.227
up__all_regimes,161681,161681,49.72,0.131,2.247,-2.07,4.299
down__all_regimes,145256,145256,49.07,0.015,2.087,-2.066,4.148
all_directions__bullish,158077,158077,47.55,-0.061,1.98,-1.994,3.97
all_directions__neutral,58326,58326,51.12,0.006,2.089,-2.077,4.168
all_directions__bearish,90534,90534,51.56,0.361,2.559,-2.191,4.714
up__bullish,87982,87982,46.31,-0.137,1.986,-2.069,4.062
up__neutral,30570,30570,51.68,0.096,2.145,-2.03,4.173
up__bearish,43129,43129,55.28,0.701,2.851,-2.098,4.87
down__bullish,70095,70095,49.11,0.034,1.973,-1.899,3.855
down__neutral,27756,27756,50.5,-0.094,2.026,-2.128,4.163
down__bearish,47405,47405,48.18,0.051,2.293,-2.276,4.572
all_directions__very_opposed,187511,187511,50.03,0.101,2.194,-2.07,4.248
all_directions__moderate_opposed,119426,119426,48.45,0.036,2.137,-2.065,4.194
up__very_opposed,98876,98876,50.66,0.194,2.307,-2.066,4.351
down__very_opposed,88635,88635,49.32,-0.002,2.067,-2.074,4.134
up__moderate_opposed,62805,62805,48.24,0.031,2.152,-2.075,4.217
down__moderate_opposed,56621,56621,48.69,0.042,2.119,-2.054,4.169
all_directions__small_gap,211893,211893,49.24,-0.005,1.815,-1.81,3.627
up__small_gap,112796,112796,49.11,-0.002,1.831,-1.807,3.64
down__small_gap,99097,99097,49.39,-0.008,1.797,-1.813,3.612
all_directions__medium_gap,66102,66102,49.79,0.127,2.524,-2.377,4.886
up__medium_gap,33024,33024,50.69,0.228,2.667,-2.376,5.018
down__medium_gap,33078,33078,48.89,0.026,2.382,-2.378,4.755
all_directions__large_gap,28942,28942,49.83,0.552,3.972,-3.254,7.118
up__large_gap,15861,15861,52.07,0.87,4.329,-3.301,7.485
down__large_gap,13081,13081,47.11,0.167,3.54,-3.197,6.672
