child_name,slice_key,slice_val,n_events,n_valid,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_open_to_high_pct,mean_nd_open_to_low_pct,mean_nd_range_pct
gap_directional_trap__gap_up_cl_low_020,all,all,98876,98876,50.66,0.194,2.307,-2.066,4.351
gap_directional_trap__gap_up_cl_low_020,regime,bullish,52072,52072,46.86,-0.12,2.007,-2.078,4.094
gap_directional_trap__gap_up_cl_low_020,regime,neutral,18679,18679,52.36,0.125,2.168,-2.004,4.169
gap_directional_trap__gap_up_cl_low_020,regime,bearish,28125,28125,56.57,0.822,2.954,-2.085,4.945
gap_directional_trap__gap_up_cl_low_020,gap_size_band,small,68935,68935,49.71,0.028,1.863,-1.808,3.672
gap_directional_trap__gap_up_cl_low_020,gap_size_band,medium,20149,20149,52.2,0.321,2.747,-2.366,5.083
gap_directional_trap__gap_up_cl_low_020,gap_size_band,large,9792,9792,54.23,1.099,4.523,-3.262,7.617
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bullish__small,37376,37376,47.62,-0.083,1.717,-1.782,3.508
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bullish__medium,10006,10006,45.36,-0.178,2.382,-2.48,4.875
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bullish__large,4690,4690,44.01,-0.298,3.517,-3.583,7.101
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,neutral__small,13299,13299,52.37,0.078,1.879,-1.784,3.666
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,neutral__medium,3823,3823,53.13,0.26,2.58,-2.305,4.874
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,neutral__large,1557,1557,50.42,0.189,3.621,-3.141,6.734
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bearish__small,18260,18260,52.03,0.218,2.151,-1.881,4.014
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bearish__medium,6320,6320,62.47,1.148,3.426,-2.222,5.538
gap_directional_trap__gap_up_cl_low_020,regime_x_gap_size,bearish__large,3545,3545,69.42,3.347,6.25,-2.89,8.687
gap_directional_trap__gap_up_cl_low_035,all,all,161681,161681,49.72,0.131,2.247,-2.07,4.299
gap_directional_trap__gap_up_cl_low_035,regime,bullish,87982,87982,46.31,-0.137,1.986,-2.069,4.062
gap_directional_trap__gap_up_cl_low_035,regime,neutral,30570,30570,51.68,0.096,2.145,-2.03,4.173
gap_directional_trap__gap_up_cl_low_035,regime,bearish,43129,43129,55.28,0.701,2.851,-2.098,4.87
gap_directional_trap__gap_up_cl_low_035,gap_size_band,small,112796,112796,49.11,-0.002,1.831,-1.807,3.64
gap_directional_trap__gap_up_cl_low_035,gap_size_band,medium,33024,33024,50.69,0.228,2.667,-2.376,5.018
gap_directional_trap__gap_up_cl_low_035,gap_size_band,large,15861,15861,52.07,0.87,4.329,-3.301,7.485
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bullish__small,63023,63023,47.09,-0.101,1.7,-1.775,3.482
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bullish__medium,16961,16961,44.87,-0.182,2.373,-2.468,4.848
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bullish__large,7998,7998,43.27,-0.326,3.422,-3.546,6.969
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,neutral__small,21638,21638,51.89,0.064,1.866,-1.801,3.67
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,neutral__medium,6344,6344,52.13,0.208,2.515,-2.298,4.805
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,neutral__large,2588,2588,48.8,0.098,3.57,-3.286,6.826
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bearish__small,28135,28135,51.48,0.17,2.098,-1.883,3.971
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bearish__medium,9719,9719,59.89,0.958,3.278,-2.265,5.453
gap_directional_trap__gap_up_cl_low_035,regime_x_gap_size,bearish__large,5275,5275,67.01,3.063,6.077,-2.937,8.592
gap_directional_trap__gap_down_cl_high_reference,all,all,145256,145256,49.07,0.015,2.087,-2.066,4.148
gap_directional_trap__gap_down_cl_high_reference,regime,bullish,70095,70095,49.11,0.034,1.973,-1.899,3.855
gap_directional_trap__gap_down_cl_high_reference,regime,neutral,27756,27756,50.5,-0.094,2.026,-2.128,4.163
gap_directional_trap__gap_down_cl_high_reference,regime,bearish,47405,47405,48.18,0.051,2.293,-2.276,4.572
gap_directional_trap__gap_down_cl_high_reference,gap_size_band,small,99097,99097,49.39,-0.008,1.797,-1.813,3.612
gap_directional_trap__gap_down_cl_high_reference,gap_size_band,medium,33078,33078,48.89,0.026,2.382,-2.378,4.755
gap_directional_trap__gap_down_cl_high_reference,gap_size_band,large,13081,13081,47.11,0.167,3.54,-3.197,6.672
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bullish__small,53137,53137,49.6,-0.01,1.745,-1.73,3.474
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bullish__medium,12565,12565,47.55,0.133,2.396,-2.248,4.61
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bullish__large,4393,4393,47.62,0.279,3.511,-2.954,6.297
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,neutral__small,18509,18509,49.72,-0.03,1.807,-1.869,3.68
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,neutral__medium,6754,6754,51.1,-0.209,2.244,-2.441,4.711
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,neutral__large,2493,2493,54.75,-0.261,3.063,-3.207,6.263
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bearish__small,27451,27451,48.77,0.009,1.89,-1.936,3.833
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bearish__medium,13759,13759,49.04,0.043,2.438,-2.466,4.908
gap_directional_trap__gap_down_cl_high_reference,regime_x_gap_size,bearish__large,6195,6195,43.66,0.259,3.752,-3.364,7.102
