slice,metric,parent_all,child_1__gap_up_cl_low_020,child_2__gap_up_cl_low_035,child_3__gap_down_cl_high_ref
all,n_events,306937.0,98876.0,161681.0,145256.0
all,continuation_rate_pct,49.41,50.66,49.72,49.07
all,mean_nd_open_to_close,0.076,0.194,0.131,0.015
all,mean_nd_range_pct,4.227,4.351,4.299,4.148
gap_up,n_events,161681.0,98876.0,161681.0,
gap_up,continuation_rate_pct,49.72,50.66,49.72,
gap_up,mean_nd_open_to_close,0.131,0.194,0.131,
gap_up,mean_nd_range_pct,4.299,4.351,4.299,
gap_down,n_events,145256.0,,,145256.0
gap_down,continuation_rate_pct,49.07,,,49.07
gap_down,mean_nd_open_to_close,0.015,,,0.015
gap_down,mean_nd_range_pct,4.148,,,4.148
bullish,n_events,158077.0,52072.0,87982.0,70095.0
bullish,continuation_rate_pct,47.55,46.86,46.31,49.11
bullish,mean_nd_open_to_close,-0.061,-0.12,-0.137,0.034
bullish,mean_nd_range_pct,3.97,4.094,4.062,3.855
neutral,n_events,58326.0,18679.0,30570.0,27756.0
neutral,continuation_rate_pct,51.12,52.36,51.68,50.5
neutral,mean_nd_open_to_close,0.006,0.125,0.096,-0.094
neutral,mean_nd_range_pct,4.168,4.169,4.173,4.163
bearish,n_events,90534.0,28125.0,43129.0,47405.0
bearish,continuation_rate_pct,51.56,56.57,55.28,48.18
bearish,mean_nd_open_to_close,0.361,0.822,0.701,0.051
bearish,mean_nd_range_pct,4.714,4.945,4.87,4.572
gap_up_x_bearish,n_events,43129.0,28125.0,43129.0,
gap_up_x_bearish,continuation_rate_pct,55.28,56.57,55.28,
gap_up_x_bearish,mean_nd_open_to_close,0.701,0.822,0.701,
gap_up_x_bearish,mean_nd_range_pct,4.87,4.945,4.87,
gap_up_x_neutral,n_events,30570.0,18679.0,30570.0,
gap_up_x_neutral,continuation_rate_pct,51.68,52.36,51.68,
gap_up_x_neutral,mean_nd_open_to_close,0.096,0.125,0.096,
gap_up_x_neutral,mean_nd_range_pct,4.173,4.169,4.173,
gap_up_x_bullish,n_events,87982.0,52072.0,87982.0,
gap_up_x_bullish,continuation_rate_pct,46.31,46.86,46.31,
gap_up_x_bullish,mean_nd_open_to_close,-0.137,-0.12,-0.137,
gap_up_x_bullish,mean_nd_range_pct,4.062,4.094,4.062,
large_gap,n_events,28942.0,9792.0,15861.0,13081.0
large_gap,continuation_rate_pct,49.83,54.23,52.07,47.11
large_gap,mean_nd_open_to_close,0.552,1.099,0.87,0.167
large_gap,mean_nd_range_pct,7.118,7.617,7.485,6.672
medium_gap,n_events,66102.0,20149.0,33024.0,33078.0
medium_gap,continuation_rate_pct,49.79,52.2,50.69,48.89
medium_gap,mean_nd_open_to_close,0.127,0.321,0.228,0.026
medium_gap,mean_nd_range_pct,4.886,5.083,5.018,4.755
