template_id,year,n_events,n_triggered,trigger_rate_pct,n_valid_triggered,win_rate_pct,loss_rate_pct,time_exit_rate_pct,mean_pnl_r,expectancy_r,mean_win_r,mean_risk_pct,n_win,n_loss_total,n_time_exit,mean_mae_proxy_r,mean_mfe_proxy_r
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2021,538,522,97.03,522,2.68,7.09,90.23,0.403,0.403,2.0,4.326,14,37,471,-0.382,0.793
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2022,1689,1395,82.59,1395,2.58,25.81,71.61,-0.156,-0.156,2.0,5.057,36,360,999,-0.748,0.582
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2023,414,337,81.4,337,2.67,18.4,78.93,0.018,0.018,2.0,4.348,9,62,266,-0.685,0.666
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2024,1113,1033,92.81,1033,2.42,9.29,88.29,0.166,0.166,2.0,4.393,25,96,912,-0.504,0.655
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2025,1843,1668,90.5,1668,5.16,10.31,84.53,0.428,0.428,2.0,5.137,86,172,1410,-0.528,0.858
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,2026,723,618,85.48,618,2.27,19.09,78.64,-0.053,-0.053,2.0,3.761,14,118,486,-0.687,0.647
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2021,538,522,97.03,522,0.0,7.09,92.91,0.403,0.403,,4.326,0,37,485,-0.382,0.793
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2022,1689,1395,82.59,1395,0.43,25.81,73.76,-0.155,-0.155,3.0,5.057,6,360,1029,-0.748,0.582
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2023,414,337,81.4,337,0.0,18.4,81.6,0.017,0.017,,4.348,0,62,275,-0.685,0.666
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2024,1113,1033,92.81,1033,0.48,9.29,90.22,0.162,0.162,3.0,4.393,5,96,932,-0.504,0.655
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2025,1843,1668,90.5,1668,0.54,10.31,89.15,0.426,0.426,3.0,5.137,9,172,1487,-0.528,0.858
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,2026,723,618,85.48,618,0.49,19.09,80.42,-0.056,-0.056,3.0,3.761,3,118,497,-0.687,0.647
E_close_band__S_range_proxy_75pct__T_range_75pct,2021,538,522,97.03,522,30.65,7.09,62.26,0.401,0.401,1.0,4.326,160,37,325,-0.382,0.793
E_close_band__S_range_proxy_75pct__T_range_75pct,2022,1689,1395,82.59,1395,13.48,25.81,60.72,-0.168,-0.168,1.0,5.057,188,360,847,-0.748,0.582
E_close_band__S_range_proxy_75pct__T_range_75pct,2023,414,337,81.4,337,17.8,18.4,63.8,0.006,0.006,1.0,4.348,60,62,215,-0.685,0.666
E_close_band__S_range_proxy_75pct__T_range_75pct,2024,1113,1033,92.81,1033,16.55,9.29,74.15,0.17,0.17,1.0,4.393,171,96,766,-0.504,0.655
E_close_band__S_range_proxy_75pct__T_range_75pct,2025,1843,1668,90.5,1668,33.57,10.31,56.12,0.348,0.348,1.0,5.137,560,172,936,-0.528,0.858
E_close_band__S_range_proxy_75pct__T_range_75pct,2026,723,618,85.48,618,16.5,19.09,64.4,-0.04,-0.04,1.0,3.761,102,118,398,-0.687,0.647
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2021,538,396,73.61,396,3.54,8.84,87.63,0.437,0.437,2.0,3.253,14,35,347,-0.398,0.871
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2022,1689,818,48.43,818,3.42,33.13,63.45,-0.179,-0.179,2.0,3.292,28,271,519,-0.849,0.652
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2023,414,239,57.73,239,3.35,20.5,76.15,0.03,0.03,2.0,3.135,8,49,182,-0.74,0.72
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2024,1113,754,67.74,754,2.52,10.61,86.87,0.191,0.191,2.0,3.129,19,80,655,-0.515,0.694
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2025,1843,952,51.65,952,5.78,14.29,79.94,0.334,0.334,2.0,3.301,55,136,761,-0.578,0.84
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,2026,723,475,65.7,475,2.32,22.53,75.16,-0.074,-0.074,2.0,2.693,11,107,357,-0.747,0.679
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2021,538,396,73.61,396,0.0,8.84,91.16,0.437,0.437,,3.253,0,35,361,-0.398,0.871
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2022,1689,818,48.43,818,0.49,33.13,66.38,-0.179,-0.179,3.0,3.292,4,271,543,-0.849,0.652
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2023,414,239,57.73,239,0.0,20.5,79.5,0.029,0.029,,3.135,0,49,190,-0.74,0.72
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2024,1113,754,67.74,754,0.66,10.61,88.73,0.189,0.189,3.0,3.129,5,80,669,-0.515,0.694
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2025,1843,952,51.65,952,0.74,14.29,84.98,0.328,0.328,3.0,3.301,7,136,809,-0.578,0.84
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,2026,723,475,65.7,475,0.42,22.53,77.05,-0.08,-0.08,3.0,2.693,2,107,366,-0.747,0.679
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2021,538,522,97.03,522,0.77,13.79,85.44,0.476,0.476,3.0,3.0,4,72,446,-0.507,1.011
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2022,1689,1395,82.59,1395,1.94,45.66,52.4,-0.262,-0.262,3.0,3.0,27,637,731,-1.123,0.894
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2023,414,337,81.4,337,1.78,29.38,68.84,-0.015,-0.015,3.0,3.0,6,99,232,-0.874,0.839
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2024,1113,1033,92.81,1033,1.55,17.42,81.03,0.16,0.16,3.0,3.0,16,180,837,-0.687,0.895
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2025,1843,1668,90.5,1668,8.51,30.76,60.73,0.339,0.339,3.0,3.0,142,513,1013,-0.852,1.433
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,2026,723,618,85.48,618,0.97,22.33,76.7,-0.058,-0.058,3.0,3.0,6,138,474,-0.763,0.769
